ticker,date,reportedEPS,estimatedEPS
AAPL,2015-01-27,0.765,0.65
AAPL,2015-04-27,0.5825,0.54
AAPL,2015-07-21,0.4625,0.4525
AAPL,2015-10-27,0.49,0.47
AAPL,2016-01-26,0.82,0.8075
AAPL,2016-04-26,0.475,0.5
AAPL,2016-07-26,0.355,0.345
AAPL,2016-10-25,0.4175,0.415
AAPL,2017-01-31,0.84,0.8025
AAPL,2017-05-02,0.525,0.505
AAPL,2017-08-01,0.4175,0.3925
AAPL,2017-11-02,0.5175,0.4675
AAPL,2018-02-01,0.9725,0.965
AAPL,2018-05-01,0.6825,0.6725
AAPL,2018-07-31,0.585,0.545
AAPL,2018-11-01,0.73,0.7
AAPL,2019-01-29,1.05,1.04
AAPL,2019-04-30,0.62,0.59
AAPL,2019-07-30,0.55,0.53
AAPL,2019-10-30,0.76,0.71
AAPL,2020-01-28,1.25,1.14
AAPL,2020-04-30,0.64,0.56
AAPL,2020-07-30,0.65,0.51
AAPL,2020-10-29,0.73,0.7
AAPL,2021-01-27,1.68,1.42
AAPL,2021-04-28,1.4,0.98
AAPL,2021-07-27,1.3,1.01
AAPL,2021-10-28,1.24,1.24
AAPL,2022-01-27,2.1,1.89
AAPL,2022-04-28,1.52,1.43
AAPL,2022-07-28,1.2,1.15
AAPL,2022-10-27,1.29,1.27
AAPL,2023-02-02,1.88,1.95
AAPL,2023-05-04,1.52,1.43
AAPL,2023-08-03,1.26,1.19
AAPL,2023-11-02,1.46,1.39
AAPL,2024-02-01,2.18,2.11
AAPL,2024-05-02,1.53,1.5
AAPL,2024-08-01,1.4,1.34
AAPL,2024-10-31,0.97,0.95
AAPL,2025-01-30,2.4,2.34
AAPL,2025-05-01,1.65,1.62
META,2015-01-28,0.25,0.23
META,2015-04-22,0.18,0.16
META,2015-07-29,0.25,0.24
META,2015-11-04,0.31,0.27
META,2016-01-27,0.54,0.42
META,2016-04-27,0.52,0.4
META,2016-07-27,0.71,0.57
META,2016-11-02,0.82,0.71
META,2017-02-01,1.21,1.04
META,2017-05-04,1.04,0.87
META,2017-07-26,1.32,1.12
META,2017-11-01,1.59,1.28
META,2018-01-31,1.44,1.94
META,2018-04-25,1.69,1.35
META,2018-07-25,1.74,1.71
META,2018-10-30,1.76,1.45
META,2019-01-30,2.38,2.18
META,2019-04-24,0.85,1.61
META,2019-07-24,0.91,1.85
META,2019-10-30,2.12,1.91
META,2020-01-29,2.56,2.53
META,2020-04-29,1.71,1.7
META,2020-07-30,1.8,1.4
META,2020-10-29,2.71,1.91
META,2021-01-27,3.88,3.2
META,2021-04-28,3.3,2.35
